black blackness blacken	white
incidental attendant accompanying incident	basic
stray jog wander range vagabond swan tramp ramble roam rove	
spud sprouted stock sprout	
beat circumvent outsmart outwit	
encroaching invading trespassing invasive	confined
gun artillery ordnance	
ventilate vent vented air	
melancholy melancholic	
candidate nominee	
extrapolate infer	
fraud tosh baloney hoax humbug drool	
one peerless unmatched	
brand blade sword steel	
adorable lovely endearing	
chuck eats chow grub	
vapour evaporation vapor	
mugging mug	
severe heavy weighty atrocious monstrous grave serious heartbreaking	
demolition destruction	
hole gob pickle fix yap maw jam hollow	
audit inspect	
staff faculty stave	
push release button clitoris	unbutton
massage knead	
discourage warn	
sneaky underhand underhanded	
cause lawsuit suit case	
inside privileged within interior inner	outside outdoors outwardly
dabble paddle	
thieving stealing larceny thievery	
feed raven prey	
energize awaken raise wake conjure stimulate elicit waken evoke rouse provoke excite invoke awake kindle	sedate
barricade roadblock barrier	
tell state express submit	
allow ply render offer cater provide furnish	
upset difficulty inconvenience distract worry disorder bother disturb trouble problem	
commit pull	
caboodle lot bunch	
fierce boisterous approximate harsh bumpy scratchy rocky rough uncut crude	cut smooth
regret rue grief sorrow grieve	joy
livid white snowy clean bloodless	black
puff snort huff	
craving starve lust hunger crave	
bonnet hoodlum cowl thug hood cap punk	
consecrate devoted give dedicate commit pay	
allow acknowledge hold include take admit	deny reject exclude
name advert observe mention refer remark	
accord treaty pact	
overdue delinquent	
motorcycle bike rhythm motorbike hertz wheel cps cycle	
bomb flunk fail	pass
handbag pocketbook bag purse	
straight neat straightforward square true	crooked coiled curly
send air glad beaming radiant glow broadcast transmit	
roughly around approximately rough some	
greenhouse nursery	
degraded degenerate dissipated fast rounder debauched	
realise see make recognize recognise clear gain earn	
cigarette butt fag	
partisan zealot	
see involve gaze reckon consider respect compliments regard heed view	disrespect
animus animosity	
tartan plaid	
costumed costume	
sue process action	
clot clog	
application industry diligence	
berth wharf moor	
fireplace fireside hearth	
rise coat surface surfacing	
suspension break interruption intermission pause disruption	
regulate rule order govern	
stunned astonished astonish amazed astound astounded	
background desktop	
submarine undersea	
stealthy sneak underhanded sneaky underhand	
factor part ingredient constituent element component	
debut entry introduction entree entering launching submission unveiling	
spit knife tongue clapper	
honor laurels observe purity award reward	dishonor disrespect
conception construct concept	misconception
brightness cleverness ingenuity smartness	
backup ease respite moderation substitute easing	
godly divine	
instance case illustration example illustrate	
east eastward	west
mend deposit get cook rigid set frozen define sterilize fixed determine repair make limit secure fix prepare	break
swerve mountain raft dispatch deal pot peck veer plenty sight lot off skid flock curve mint trend sheer stack slew murder remove wad batch mass	
listener auditor	
deadly crazily insanely madly	
fling spree	
apparent unmistakable evident manifest seeming patent	
jigger trot pony crib	
cop blast smash complete boom pinpoint nab ace arrest apprehend	
gob jacks tar labourer squat jack shit diddly mariner laborer	
discourse discuss	
exhibition exposition expo	
extract infusion	
cancel erase delete edit	record
sinning sin goof blunder trespass	
pulse pounding shudder throb shiver thrill	
governor regulator	
taxicab hack taxi cab	
crush pulverize destroy demolish	
plagiarism piracy	
x decade tenner ten	
oath lad feller curse fella fellow swearing chap bloke blaspheme swear	
lit illuminated light illuminate lighted enlighten	
culture refinement civilization civilisation polish refining nuance shade cultivation	
skill acquisition accomplishment learning	
shift dislodge bump free	lodge
genitalia crotch privates genitals	
journal diary	
lush boozer alcoholic	
space length distance	
disparaging belittle derogatory	flatter
hesitate waffle pause waver	
premium bounty	
weep nodding cry tears crying weeping	laugh
see ascertain secure guarantee control check insure cover	
conquest seduction	
demonstrate certify manifest evidence	
matter affair things thing	
supporting advance promote further encourage boost	discourage discouraging
damning damn curse	bless
grievance score grudge	
tendency leaning propensity	
hearty strong satisfying solid unanimous whole square firm	hollow liquid
generate grant relent concede soften takings give output succumb yield bear return production afford pay cede	survive stand
measure criterion standard touchstone	
good commodity	
swoon faint conk	
hearing listening heed listen mind	
flit flutter darts scoot dash shoot flash	
instructive informative	
scope telescope	
mile mil knot mi	
shot stab jab thrust knife prod twinge poke	
glimpse glance	
mimic mime	
harbinger herald precursor predecessor	
fright veneration revere awe fear dread concern	
indiscriminately arbitrarily randomly	
invest undershirt waistcoat vest	
snatch twat bitch pussy cunt puss	
loose unleash release free loosen liberate	confine stiffen
cop snitch grass shit denounce stag betray rat	
ft foot groundwork base foundation	head
sliced hack shredded chop	
dimension assign property attribute	
involvement affair liaison intimacy	
make fudge fake cooking cookery fix prepare manipulate preparation	
confine stay detain delay	rush free
grasshopper hopper	
lead dealer corpus principal star	
smother stifle halter repress gag throttle hamper suffocate cramp	
comparatively relatively	
qualify weather discipline specify stipulation check term condition shape circumstance train	
morning morn	
send air glow broadcast transmit shaft beam ray	
char scorch coal blacken	
lady madam dame	nobleman
fry electrocute fried	
talent gift endowment	
tape videotape	
speck top sneak twitch tweet nip swipe squeeze hook collar cabbage emergency mite apprehension catch tinge hint twinge abstract	
squelch takedown	
paedophile pedophile	
yogurt yoghurt	
parachuting skip leap rise start derail bound startle chute jump alternate	
mythological mythic fabulous mythical	
vermin varmint	
carte menu card fare	
manpower workforce men hands	
resounding resonating resonate vibrate	
penetrate conundrum diffuse enigma riddle	
tape videotape	
dissuade deter	persuade
snow snowfall	
secure good dependable safe	dangerous out
shaft jockey screw cheat	
encampment bivouac camp camping	
unearthly weird uncanny	
trite bromide banal prosaic tired humdrum banality commonplace	
drive driveway	
put regulate guild prescribe arrange ordering society decree lodge tell club place rank consecrate rate range edict	disorder
sound break tour start become ecstasy fling extend pass operate blend get travel spell move run survive endure cristal croak rifle choke crack live depart die work belong last fit conk	come stop malfunction
wiz hotshot wizard superstar sensation whizz champion star genius adept ace	
proposition proposal	
dollar clam buck	
tornado crack twister	
flatter flattering	unflattering
undermine counteract weaken subvert	
disc platter disk record	
funky stinking foul smelly	
confusion disarray	
initiation creation introduction establish launch constitute found founding base foundation innovation	abolish
automatic robotic	
acme top elevation meridian summit height apex	
solace consolation comfort console	
clutch grasp hold clasp grip clutches	
write relieve deliver save salve keep salvage spare	
conjure raise appeal evoke invoke arouse	
deteriorate dismiss neglect drop flatten degenerate discharge miss dribble sink throw unload cast spend drip expend	recuperate sharpen
harry stimulate raise harass chevy elicit molest evoke beset provoke plague provoked kindle	
lover fan devotee caramel buff buffet	
law constabulary police	
sequel continuation continuance	
rigging manipulate set tackle	
perfection paragon god idol	
confuse broken upset disoriented fox scattered confound jumble confounded flurry baffled lost disconnected unconnected bewildered	
chick hen biddy	
lecture jaw censure scold chide rag berate	
instrumentation orchestration	
waver weave wander tissue wind	
unfreeze disband dissolve dismiss melt resolve	
ear spike	
vulgar earthy crude gross	
battery shelling onslaught bombing outpouring barrage	
bury plunge steep engulf absorb swallow	
coil curl loop	
bait sweetener entice lure decoy hook	
snicker snort	
froth fizz foam sparkle	
admire admired	
dissident contestant protester	
advanced groundbreaking innovative modern	
mike microphone	
lad feller fella fellow chap bloke	
crook twisting twirl worm pervert device plait writhe twist curve spin rick twine wriggle wrench wind gimmick construction wrestle eddy whirl braid	
stutter bobble blow stumble stammer spoil muff fumble bollocks falter fluff	
engraving engrave etch scratch	
stone gemstone gem	
remake redo reconstruct remodel	
complain plain kick	cheer
multiply breed procreate reproduce	divide
