black blackness blacken	white
bacterium bacteria	
compression condensation contraction compressing	decompression
cover mantle blanket	
incline pitch side tend dispose run slope lean ramp	
bung tip fee	
beat tick ticking ticktock check mark click	
outfit kit	
cusp leaflet	
red scour rosy flush level even crimson sluice purge flushed	
involve need ask want motive take demand motivation require	
gallon gal	
required needed requisite needful	
crying instant repetitive insistent	
glitch bug	
sum toddler add tot total bambino tally	
apprentice scholar learner prentice	
tumult ruckus rumpus commotion din	
see find witness	
reclaim regain find recover retrieve recuperate recoup	deteriorate
skin scramble struggle peel bark hide pelt scrape shin	
analog latitude parallel twin duplicate analogue	
skinny secretive tight confining nearest nigh near snug	far distant
scope telescope	
boastful big bragging crowing braggart blowhard	
churn boil	freeze
railway railroad	
chaperone chaperon	
discredited damage damaged	undamaged
wolfram tungsten	
bobble blow testicle nut spoil muff fumble bollocks ball fluff	
molecule atom particle speck	
identify name keyed key describe discover distinguish	
generate mother beget return render give father yield get sire	
moniker nickname	
bottom terminate pot rump stern dismiss lavatory fanny tush	hire
wank masturbate	
wrap wrapping wind twine wrapper enclose roll	unwind unwrap
receive observe bump feel incur find happen chance detect	lose
tip tiptoe	
traveller traveler	
acquit expect suffer deport stand born deliver brook contain	unborn
preferred preferable	
receive mother aim generate puzzle incur come start	leave end
invest sitting sit seated seat	standing
saint backer angel	
phoebe fin quint five	
senseless extra wasted spare redundant superfluous pointless surplus excess	
conglomerate empire	
endanger stake jeopardise hazard peril venture adventure menace threaten jeopardize	
reap harvest glean	
professor raise establish rise testify prof evidence demonstrate prove	disprove
patrol police	
castaway outcast pariah	
do run execute fulfill accomplish fulfil perform action	
bone os	
leave lead answer termination upshot effect solution ensue event outcome	
envision see figure visualize picture plan visualise projection design fancy	
design plan designed intentional project	
ladder run ravel	
inspire instigate incite prompt	
feel fingering finger thumb	
yogurt yoghurt	
die stifle fret gag perish go expire throttle suffocate croak	
sure rely hope bank trust swear desire entrust commit	mistrust
blacken black	
compact covenant	
fudge manipulate control falsify fake cook rig	
sound reasoned profound legal healthy sounder intelligent heavy good	unsound
assignment naming engagement designation appointment fitting date	
accountancy calculate account report accounting describe	
gunny burlap	
write save compose publish pen spell	
wholly completely whole totally entirely altogether all	partly
mammoth gigantic	
cardinal carmine	
sayonara adios cheerio goodbye adieu bye arrivederci	
readiness ardor zeal eagerness	
sum number come quantity measure total amount	
overlay cover	
prophesy preach	
manipulator hustler operator	
creed gospel	
greenhorn lad rookie sonny cub laddie	
deal like handle caring manage worry care wish	
poll pate canvas canvass crown pollard	
tranquillity hushed silence lull quiet placid	active sound noisy agitate
locating position fix positioning placement locate place site settle location	
shaving shave plane trim	
craze madden	
te si titanium ti	
smother stifle gag suffocate choke strangle	
mumble murmur muttering murmuring croak grumble grumbling mutter	
vending hawk pitch hawking peddling monger peddle	
bubbly champagne	
order suppose state read articulate tell expression aver saying pronounce	
zest spice	
extremity appendage member	
crumple fall topple collapse spill tip twig crumble tumble whirl	
slide slip skid shoe slew	
garner collect amass meet pucker gathering assemble conglomerate tuck	spread
tabernacle temple synagogue	
graph chart	
giant gargantuan jumbo	
hypnotized fascinated fascinate spellbound mesmerized grip hypnotised entrance	
exclaim shout cry outcry yell call	
stake endangerment hazard peril guess fortune adventure chance risk pretend	
writer author	
perpetrator culprit	
counsel counselor urge advocate counsellor preach recommend	
mag magazine	
exercising exercise workout	
summerhouse gazebo	
synthetic celluloid	
invariably constantly always	
nix prevent forbid foreclose preclude prohibit veto	allow permit
allegiance dedication loyalty commitment	disloyalty
last finally lastly	
keen deplore lament lamented	
feel sensing detection sense perception smell	
speculative risky wild bad hazardous	
fudge ducking dodge dip hedge duck evade elude skirt parry	
anatomy soma figure flesh physique chassis shape frame bod build	
passable adequate tolerable	intolerable
whiff sniff sniffle	
see wake viewing screening consider regard showing view watch catch	
chimp chimpanzee	
coon nigger spade nigga	
flicker riff flick ruffle snap leaf jerk flip click thumb	
hunt hound trace	
silence quiet secrecy still hush quieten	sound
engineer prepare mastermind coordinate orchestrate devise organize organise direct form	
buggy break cracked check snap bats loony daft barmy collapse	
chastise correct	
conserve hold assert maintain uphold observe defend preserve wield exert	
lead behavior demeanour behave acquit bear behaviour channel deal transmit	
appeasement calming	
dodo fossil	
shit shite ninny dope turd stern dirt tail poop nincompoop	
swede rutabaga	
spud potato murphy tater	
oath nemesis hex condemnation curse whammy torment scourge	bless communicate
retrieval recovery	
sentinel scout sentry guide lookout spotter watch picket	
diaper napkin nappy	
deportation transportation exile	
poof fagot pansy faggot sissy fag queen fairy queer nance	
aerial antenna	
effigy image	
immense huge vast	
bring dally trifle recreate run fiddle work represent act bet	
larceny thievery slip thieving theft stealing stealth steal	
diversify glow ray beam radiate shine	
toad frog	
jingling jangle jingle	
ding batter dong	
beat attack snipe rung rhythm bout around polish assault	square
receive welcome	
explore research search	
companionship fellowship company society	
tingle tingling chill shudder quiver shiver thrill	
crumple heave clasp buckle warp	
midst thick	
native aboriginal	
tactics tactic manoeuvre maneuver	
balance poised poise brace collected	
moist damp damper muffler	
bedroom chamber	
bury inter forget swallow sink immerse	remember
loathing abomination	
romp frolic frisk skylark sport lark	
obedience respect	disobedience
stripes stripe chevron	
intensify compound heighten deepen escalate	
freeze deflect jam closure forget pulley	unblock unfreeze remember free
trace draw line lined describe	
preclude prevent foreclose forbid	
elected elective	
rap beg tap videotape knock tape tip exploit bug	erase
skip vamoose	
richness fullness	emptiness
aberration straining distortion torture twisting	
archaeologist archeologist	
recoil ricochet limit leap confine restrict bound edge boundary throttle	
exercise practice drill bore practise drilled	
poof fagot pansy faggot fag queen fairy queer nance	
intestine bowel gut	
labour push labored laboured toil grind fag strained drive heavy	
burst detonate explode	implode
expanse arena country region domain field area sphere orbit	
magnanimous large big	
truce armistice	
jittery edgy jumpy uptight	
overactive hyperactive	
disband dissolve	
kindly sympathetic benevolent charitable	
ex outmoded passe gaffer antique	
operative shamus sherlock	
benefit gain profit	lose
force coerce squeeze hale pressure	
recoil ricochet backlash quail bounce bound cringe spring rebound kick	
climax coming orgasm	
flux fuse meld incorporated merged combine unify merge incorporate mix	
spicy savory savoury	unsavory
raise conjure elicit evoke provoke extract invoke kindle suggest arouse	
obit obituary	
refresh freshen	tire
dazzle stunned groggy foggy stun daze stupid dazed	
corrie cirque	
student pupil	
morose moody glum dark temperamental sullen sour dour	
tart prostitute whore harlot	
wet moisture	dry
blood origin bloodline pedigree stock descent lineage ancestry line	
spaced separated space	
windy tedious wordy	
bear paying give paid pay devote yield compensate	default
shift transmutation transformation translation	
jail imprison lag jug remand	
haji hajji	
horror revulsion repulsion	
sexy aphrodisiac	
announcement proclamation declaration	
air ambience atm ambiance atmosphere aura	
fit turmoil upheaval	
crook twisting twirl worm pervert device plait writhe twist curve	
thorn spine spur sticker backbone back	
pucker rumple knitted knit crumple	
discourage warn	
shaky shaking quiver quivering shivering vibration trembling tremble	
ghostly spectral spiritual	
administer dispense deal disperse broadcast stagger diffuse circulate propagate	gather
drag cart hale haul	
souvenir memento	
mike microphone	
phosphorus p	
artwork prowess art artistry graphics	
shell face instance character eccentric pillowcase sheath subject lawsuit case	
certification hallmark authentication	
appointment accommodation adjustment fitting	
watchman watcher	
staunch steadfast unshakable firm unwavering steady stiff	
office use part character purpose persona function role	
inhibition prohibition suppression	
lad feller fella sonny cub fellow laddie chap bloke gent	
restore reestablish reinstate	
