black blackness blacken	white
contribution constituent break start component portion partly partially piece parting split role character share depart divide separate function office part voice division region percentage persona section	wholly
lovemaking love	
condemnation doom sentence conviction condemn time	acquittal
exploitation using development	
cheery festive jolly brave sunny gay jovial merry queer	
spot darn piece plot mend fleck while patch spell bandage	
celebrated renowned observe notable keep illustrious famous noted famed celebrate fete	
late old former previous premature	
fertiliser fertilizer	
steadfast bulletproof unshakable firm unwavering watertight steady stiff	
stupendous colossal prodigious exceeding exceptional olympian	
informed inform	uninformed
midday noon	
compare comparison equate	
come arrive get	leave
confuse ado bustle flurry hustle fuss stir	
roadside wayside	
assignment naming engagement designation appointment fitting date	
dot superman drug pane dose acid dosage	
sovereign monarch	
obstinate stubborn	docile
parcel share bundle packet portion package tract	
encampment bivouac camp pack tent clique	
tyke barbarian boor peasant	
alibi pardon relieve exempt apologize justify excuse apologise rationalize apology condone explain	
subvert abuse pervert twist misuse corrupt profane	
outrage dirt scandal	
normally commonly usually ordinarily	remarkably
riverside riverbank	
nag scold plug jade peck hack	
largely mostly	
begrudge resent	wish
apply implement enforce	exempt
cycle bike wheel bicycle pedal	
enchant hex witch fascinate bewitching enchanting fascinating trance capture glamour jinx captivating entrance catch charm	
wire wiring cable telegraph	
leave bequeath testament will volition	
change alteration revision adjustment modification	
disregard deduction ignore dismiss rebate discount	
borrow adopt	lend
grave earnest sincere solemn sedate sober	
supplementary subsidiary supplemental auxiliary subordinate	
feigning guise pretence pretext pretense pretending simulation	
storey story floor level	
doubling replicate twice treble forked dual double doubly repeat image duplicate doubled	single
write spell import	
wording phrasing diction	
gleam glow radiance gleaming freshness beam burn radiate glowing shine	
mash crush squash squelch squeeze	
shrivel withers fade shrink wither	
cobalt cos	
impropriety indecency	decency
attempt essay prove examine try test seek	
administer dispense deal allot distribute lot	
agenda schedule docket	
thrust lunge throw hurl cast	
grounder hopper	
position lieu stead place	
moment upshot effect aftermath event outcome import consequence issue result	
make feigning profess pretence hazard pretense act guess pretending pretend affect venture simulation sham feign	
dot dit	
voltage emf	
he helium	
bra brassiere	
shift shimmy tilt wobble wobbling	
fruitcake crackpot nut crazy crank screwball	
partisan zealot enthusiast	
whisky whiskey	
poise chill cool	heat
beg woo tap court romance solicit hook	
loafer bum	
rattlesnake rattler	
patriot nationalist	
past preceding bed withdraw retreat reticent adjourn unassuming retiring recede retire	advance
make realise garner clear earn gain realize	
pit target quarry prey	
sun sunbathe sunlight sunshine	
stove stave range	
specify specialise specialize differentiate specialized specialised narrow	diversify
undue exuberant excessive extravagant unreasonable	
cissy sissy effeminate	
alone only exclusively entirely solely	
respite hiatus suspension reprieve	
insulting contemptuous	
industry manufacture diligence	
secret tube subway resistance metro underground undercover clandestine	
check bridle curb	
force coerce ram power personnel pressure push pull thrust effect draw hale violence drive storm wedge squeeze strength	push pull
recoil ricochet leap bound jump spring rebound bounce form	
potential likely probable probably	improbable unlikely
suffer misplace miss lose recede	win keep find gain profit
shorts boxer drawers packer bagger boxers	
comfortably well	uncomfortably
pap nipple tit teat	
swag stagger spool lurch spin reel keel whirl	
nurture raise rear parent	child
trade barter switch swap	
scraping itch scratching cancel fray fret excise grave scrub scratch scrape rub strike engrave	
fell disappear vaporize vanish fly	appear
misdirection distraction	
fumble grope	
rouge key paint pigment	
wham wallop licking whacking beating whack thrashing	
tat sleaze	
dreamer idealist	
swirl twirl whirl twiddle	
utter express mouth talk emit speak	
pacer pacemaker	
sneaker snitch scab canary confess sneak rat fink squeal	
holdup stickup heist	
swordplay play	
short light stint scant skimp	
skim skip vamoose skitter hop jump cut	
snorkeling snorkel	
apologize free justify excuse apologise rationalize absolve warrant	blame
do answer dish service help process serve suffice function assist attend	
loot lolly scraping sugar scratching start shekels clams excise strike engrave prick bread slit incision cabbage moolah fray dinero lettuce scrape rub dent abrasion dough grave scratch kale itch cancel fret scrub scar scribble mark	
exactly precisely just	
present face confront	avoid
materialistic bourgeois conservative	
revel revelry	
receive suffer cause get sustain ingest deliver consume give induce make bear hold birth accept feature stimulate own let take experience possess have throw	refuse lack abstain
betrayer squealer rat blabber informer	
newsman reporter	
nitwit doofus dimwit	
banality cliche commonplace bromide	
limb branch arm	
puff ottoman	
heighten raise enhance enhanced	
shame pity dishonor disgrace dishonour	honor
basketball hoops	
criterion banner standard stock touchstone measure received	
deputy lieutenant surrogate	
ejection riddance elimination expulsion exclusion	
five v	
decadence degeneration	
buddy brother pal sidekick chum	
bias slash sloping stroke slanted diagonal	
reference cite	
ranking order range rate superior place grade rank outrank	
stag snoop spy snooper sleuth	
chieftain captain master skipper	
frustrate thwart cross scotch foil spoil transparency queer	
hover thrill resonate vibrate tickle	
alimony maintenance	
tumor tumour	
qualification booking reservation reserve	
reconstruct redo recast remodel	
culture refinement civilization civilisation polish cultivation finish	
address terminus destination finish goal	
raunchy obscene lewd grimy dingy grubby salacious	
upright good erect vertical just	
loot lolly cabbage sugar moolah dough shekels clams dinero lettuce scratch kale bread	
jet greens commons green common park	
hitch flick twitch buck jerking jerk jerky jolt yank	
tamer tame tamed meek	wild
con swindle defraud rook diddle gyp scam	
rout origin ancestor theme base solution source beginning ascendant root stem radical settle	descendant
reveal baring expose find uncover discovery unveil uncovering stripping	cover
braid lace plait twist	
witch hex curse whammy enchant jinx glamour	
honor repay rewarding reward reinforce honour	dishonor
discomfort irritation	comfort
dress attack snipe snip crop clip nip assault prune trim lop round	
minute hour hours hr	
good goodness	badness evil bad
ii deuce two	
telling vocalizing talk babble tattle blab sear singing sing peach scorch whistle singe	
tenor strain	
dexterity sleight	
avail helping help aid serve facilitate portion serving assist	
leaders leader leadership	follower
echo return withdraw remember recall retrieve think recollect	forget issue
identify name key place describe discover distinguish	
cut castrate emasculated	
auction auctioneer	
manner path way room ways agency style means direction mode fashion	
skillful proficient skilful technical practiced adept good expert	
frustrate tormented torment anguished crucify tortured rag torture rack dun	
sayonara adios cheerio goodbye adieu bye arrivederci	
grandpa granddad gramps grandad granddaddy grandfather	
maize corn	
oblige obligated hold compel bind	
chile chilli chilly chili	
feed flow run course feast prey give eat fertilize	starve
woof option cream selection cull nibble picking foot blame pluck piece pick filling pickaxe peck clean beak choice	
copy imitate simulate	
lunatic madman maniac	
insulate isolate	
return counter comeback retort replication	
bookie bookmaker	
sweetheart smasher dish stunner bag lulu knockout serve looker peach saucer beauty	
dub nickname	
skill acquisition achievement accomplishment	
bear brook tolerate suffer endure digest concentrate stomach stand condense support abide	
unhappily sadly woefully	happily
beat stick puzzle confusing vex gravel enigmatic perplexing puzzling pose get amaze	
phony pretender bastard hypocrite fake phoney bogus	
sleepless insomniac watchful alert	
finesse diplomacy delicacy	
table defer postpone remit	
crest cap	
storey dump deck base flooring floor level story shock	
whip blister	
deary darling favourite pet dearie favorite ducky	
aim aspire	
hoy barge lighter	
